P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
RondoniaHeadwaters	Headwaters	XinguBelemC	0.0156165	2.67085	0.00756597	0.0526003	867.302	786.378	762.194
RondoniaHeadwaters	Headwaters	XinguBelemN	0.000236461	0.0361782	0.97114	0.000628813	856.407	752.004	751.648
TapajosHeadwaters	Headwaters	Tapajos	0.00187422	0.347996	0.727843	0.0577374	801.893	685.307	682.743
XinguBelemC	Tapajos	Headwaters	0.00626477	1.22344	0.221165	0.0112916	817.777	782.001	772.264
Headwaters	XinguBelemN	Tapajos	0.0135685	2.29291	0.021853	0.675914	746.452	802.409	780.926
TapajosHeadwaters	Headwaters	XinguBelemC	0.0123807	1.89002	0.0587557	0.0410567	803.22	677.25	660.686
Headwaters	TapajosHeadwaters	XinguBelemN	0.00403842	0.512848	0.608058	0.0099601	791.713	655.481	650.208
XinguBelemN	XinguBelemC	Headwaters	0.0174158	2.22597	0.0260164	0.0299807	848.947	755.4	729.539
InambariW	Rondonia	InambariE	0.00910046	1.94582	0.051676	0.090392	763.515	821.593	806.774
InambariW	RondoniaHeadwaters	InambariE	0.0114915	1.79773	0.0722198	0.127446	772.418	835.239	816.261
Tapajos	InambariW	InambariE	0.00691197	1.63213	0.102652	0.0655373	747.155	818.717	807.477
TapajosHeadwaters	InambariW	InambariE	0.00873622	1.49024	0.136161	0.0847494	670.438	727.749	715.143
XinguBelemC	InambariW	InambariE	0.0202156	2.68504	0.00725216	0.176988	739.12	825.28	792.574
XinguBelemN	InambariW	InambariE	0.0249683	4.58818	4.47129e-06	0.193234	732.436	813.25	773.628
InambariE	Rondonia	RondoniaHeadwaters	0.00121971	0.211199	0.832732	0.00201246	795.721	802.207	800.253
Tapajos	InambariE	Rondonia	7.24397e-05	0.0163287	0.986972	0.00374048	767.003	793.062	792.947
InambariE	TapajosHeadwaters	Rondonia	0.000720802	0.125359	0.900239	0.033278	678.055	705.207	704.192
XinguBelemC	InambariE	Rondonia	0.00789207	1.3753	0.169037	0.296797	751.875	799.359	786.841
