P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
Headwaters	RondoniaHeadwaters	AtlanticForest_Ilheus	0.00922098	1.50302	0.132834	0.0203846	873.468	782.936	768.629
Headwaters	AtlanticForest_Ilheus	Tapajos	0.0180997	2.71778	0.00657214	0.971263	758.49	821.941	792.716
Headwaters	TapajosHeadwaters	AtlanticForest_Ilheus	0.00343136	0.381014	0.703193	0.00714476	808.926	668.933	664.358
AtlanticForest_Ilheus	XinguBelemC	Headwaters	0.0166862	2.15404	0.031237	0.0277008	943.157	747.808	723.261
XinguBelemN	AtlanticForest_Ilheus	Headwaters	0.00113391	0.118716	0.9055	0.00190386	862.066	739.799	738.123
AtlanticForest_Ilheus	InambariW	InambariE	0.0171814	3.24499	0.00117454	0.147995	738.925	826.114	798.206
AtlanticForest_Ilheus	InambariE	Rondonia	0.00863614	1.64732	0.0994932	0.403747	756.451	799.178	785.492
AtlanticForest_Ilheus	InambariE	RondoniaHeadwaters	0.00784657	1.33276	0.182611	0.0132213	764.234	811.558	798.921
AtlanticForest_Ilheus	Tapajos	InambariE	0.0109728	3.73587	0.000187065	0.0777846	835.475	768.893	752.202
InambariE	AtlanticForest_Ilheus	TapajosHeadwaters	0.00581282	0.647408	0.517368	0.00783126	679.223	700.143	692.051
XinguBelemC	AtlanticForest_Ilheus	InambariE	0.00339307	0.598262	0.549665	0.0240954	964.703	725.29	720.384
XinguBelemN	AtlanticForest_Ilheus	InambariE	0.00837967	1.51299	0.130282	0.0774381	877.792	735.845	723.615
InambariW	AtlanticForest_Ilheus	Rondonia	0.0278846	6.1013	1.0521e-09	0.591459	729.872	818.195	773.802
AtlanticForest_Ilheus	RondoniaHeadwaters	InambariW	0.0284268	3.65443	0.000257757	0.4665	833.901	783.717	740.392
AtlanticForest_Ilheus	Tapajos	InambariW	0.0106437	2.80883	0.00497213	0.167625	869.906	743.002	727.352
AtlanticForest_Ilheus	TapajosHeadwaters	InambariW	0.0159331	2.66852	0.00761863	0.252938	727.791	674.994	653.822
AtlanticForest_Ilheus	XinguBelemC	InambariW	0.000673937	0.117118	0.906767	0.0100264	997.973	700.2	699.257
AtlanticForest_Ilheus	XinguBelemN	InambariW	0.00298034	0.425261	0.670647	0.0455687	905.86	710.49	706.268
Rondonia	RondoniaHeadwaters	AtlanticForest_Ilheus	0.00360991	0.572136	0.56723	0.00799499	796.465	781.874	776.249
AtlanticForest_Ilheus	Tapajos	Rondonia	0.00889295	2.60745	0.00912192	0.445373	811.707	771.069	757.476
TapajosHeadwaters	Rondonia	AtlanticForest_Ilheus	0.00421889	0.655089	0.512411	0.00898417	694.698	681.362	675.637
AtlanticForest_Ilheus	XinguBelemC	Rondonia	0.000745942	0.125322	0.900268	0.0316206	938.339	728.987	727.9
XinguBelemN	AtlanticForest_Ilheus	Rondonia	0.00193787	0.298824	0.765075	0.080335	850.318	737.166	734.315
AtlanticForest_Ilheus	Tapajos	RondoniaHeadwaters	0.00330169	0.738021	0.460502	0.00541531	822.918	779.138	774.01
TapajosHeadwaters	RondoniaHeadwaters	AtlanticForest_Ilheus	0.00951812	1.19312	0.232822	0.0203604	740.759	688.377	675.396
XinguBelemC	AtlanticForest_Ilheus	RondoniaHeadwaters	0.00995921	1.54849	0.121505	0.0154155	951.337	747.079	732.345
XinguBelemN	AtlanticForest_Ilheus	RondoniaHeadwaters	0.00987995	1.18986	0.234101	0.0153563	859.563	750.238	735.558
AtlanticForest_Ilheus	Tapajos	TapajosHeadwaters	0.0152678	2.15771	0.03095	0.0188853	726.167	690.743	669.968
AtlanticForest_Ilheus	XinguBelemC	Tapajos	0.00423548	0.761628	0.446282	0	911.591	761.804	755.378
XinguBelemN	AtlanticForest_Ilheus	Tapajos	0.00488055	0.731613	0.464405	1.3743	829.077	768.601	761.135
XinguBelemC	AtlanticForest_Ilheus	TapajosHeadwaters	0.00210182	0.26667	0.789724	0.00255552	842.297	643.668	640.968
AtlanticForest_Ilheus	XinguBelemN	TapajosHeadwaters	0.00152256	0.142632	0.886581	0.00185581	759.712	650.754	648.775
XinguBelemC	AtlanticForest_Ilheus	XinguBelemN	0.00291118	0.497507	0.618831	0.0096413	872.388	777.933	773.417
InambariW	Headwaters	InambariE	0.00716209	1.03332	0.301455	0.0921419	772.398	829.453	817.656
Headwaters	Rondonia	InambariE	0.00196598	0.377854	0.705539	0.0209425	810.786	796.25	793.125
Headwaters	RondoniaHeadwaters	InambariE	0.00457489	0.639773	0.52232	0.0500997	874.635	796.68	789.424
InambariE	Tapajos	Headwaters	0.00900745	1.5211	0.128234	0.0168489	777.179	814.553	800.01
TapajosHeadwaters	Headwaters	InambariE	0.0143959	1.86325	0.0624277	0.14141	818.524	690.035	670.45
InambariE	XinguBelemC	Headwaters	0.00297338	0.42681	0.669518	0.00546955	757.551	806.716	801.933
XinguBelemN	InambariE	Headwaters	0.0129018	1.93114	0.0534656	0.0236592	747.563	798.267	777.931
Headwaters	Rondonia	InambariW	0.00143568	0.385207	0.700084	0.0411261	842.707	770.2	767.992
Headwaters	RondoniaHeadwaters	InambariW	0.00105054	0.162248	0.87111	0.0304921	907.437	766.724	765.114
Tapajos	Headwaters	InambariW	0.0170836	3.5397	0.000400581	0.320218	847.899	776.301	750.223
TapajosHeadwaters	Headwaters	InambariW	0.0102376	1.76206	0.0780589	0.191056	846.525	667.329	653.804
XinguBelemC	Headwaters	InambariW	0.0269388	4.74714	2.06316e-06	0.422566	836.755	774.882	734.228
InambariW	XinguBelemN	Headwaters	0.0213916	3.11843	0.00181815	0.0379463	731.446	802.922	769.29
RondoniaHeadwaters	Headwaters	Rondonia	0.00521313	0.96378	0.335156	0.542955	860.804	793.143	784.916
Tapajos	Rondonia	Headwaters	0.00195673	0.564301	0.57255	0.00378262	783.754	798.251	795.133
TapajosHeadwaters	Headwaters	Rondonia	0.00618672	1.09091	0.275313	0.355575	797.861	685.416	676.987
XinguBelemC	Rondonia	Headwaters	0.00809961	1.47685	0.139716	0.0147077	770.956	797.827	785.006
Headwaters	Rondonia	XinguBelemN	0.00522166	1.12789	0.259365	0.0133952	792.755	761.939	754.024
RondoniaHeadwaters	Headwaters	Tapajos	0.00919429	1.93349	0.0531764	0.341203	864.919	794.026	779.558
TapajosHeadwaters	Headwaters	RondoniaHeadwaters	0.0163718	1.94966	0.051217	0.0302543	782.364	731.646	708.075
RondoniaHeadwaters	Headwaters	XinguBelemC	0.0156165	2.67085	0.00756597	0.0528518	867.302	786.378	762.194
RondoniaHeadwaters	Headwaters	XinguBelemN	0.000236461	0.0361782	0.97114	0.000573157	856.407	752.004	751.648
TapajosHeadwaters	Headwaters	Tapajos	0.00187422	0.347996	0.727843	0.0792692	801.893	685.307	682.743
XinguBelemC	Tapajos	Headwaters	0.00626477	1.22344	0.221165	0.0121302	817.777	782.001	772.264
Headwaters	XinguBelemN	Tapajos	0.0135685	2.29291	0.021853	0.734891	746.452	802.409	780.926
