P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
RondoniaHeadwaters	Headwaters	XinguBelemN	0.000236461	0.0361782	0.97114	0.000628813	856.407	752.004	751.648
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
XinguBelemN	RondoniaHeadwaters	InambariE	0.0377103	5.80487	6.44E-09	0.316478	773.826	802.511	744.184
AtlanticForest	RondoniaHeadwaters	InambariE	0.0306408	4.56073	5.10E-06	0.282727	801.931	812.631	764.312
AtlanticForest	RondoniaHeadwaters	InambariW	0.029579	4.39165	1.12E-05	0.496875	836.485	784.364	739.295
XinguBelemC	RondoniaHeadwaters	InambariW	0.0279039	4.13816	3.50E-05	0.482665	821.626	786.205	743.52
XinguBelemN	RondoniaHeadwaters	InambariW	0.0256038	4.07282	4.64E-05	0.48869	800.313	768.038	729.69
XinguBelemC	RondoniaHeadwaters	InambariE	0.0330695	3.94379	8.02E-05	0.270803	787.889	815.133	762.947
Tapajos	RondoniaHeadwaters	InambariE	0.0191308	2.86582	0.00415927	0.206232	800.236	807.768	777.442
XinguBelemN	RondoniaHeadwaters	Rondonia	0.0142487	2.75182	0.00592642	0.493677	753.164	783.686	761.667
AtlanticForest	RondoniaHeadwaters	Rondonia	0.0151728	2.72628	0.00640522	0.494133	785.914	798.568	774.697
Tapajos	RondoniaHeadwaters	InambariW	0.018102	2.60353	0.00922703	0.370518	835.103	779.814	752.083
TapajosHeadwaters	RondoniaHeadwaters	InambariE	0.0198589	2.48289	0.013032	0.1596	750.819	704.406	676.974
TapajosHeadwaters	RondoniaHeadwaters	AtlanticForest	0.0145455	1.95369	0.0507379	0.0428009	742.796	692.424	672.57
TapajosHeadwaters	RondoniaHeadwaters	InambariW	0.0135749	1.79646	0.0724214	0.310468	779.436	679.421	661.222
XinguBelemC	RondoniaHeadwaters	Rondonia	0.0122685	1.75815	0.0787214	0.428859	770.698	799.973	780.582
Headwaters	RondoniaHeadwaters	AtlanticForest	0.0106324	1.70501	0.088193	0.0324527	874.416	785.839	769.304
TapajosHeadwaters	RondoniaHeadwaters	Rondonia	0.00434608	0.687599	0.491705	0.204655	731.956	691.499	685.514
Tapajos	RondoniaHeadwaters	Rondonia	0.00404135	0.675486	0.499367	0.207063	784.6	794.086	787.694
Headwaters	RondoniaHeadwaters	InambariE	0.00457489	0.639773	0.52232	0.0483262	874.635	796.68	789.424
									
Headwaters	RondoniaHeadwaters	InambariW	0.00105054	0.162248	0.87111	0.0372368	907.437	766.724	765.114
TapajosHeadwaters	RondoniaHeadwaters	XinguBelemN	0.00057144	0.0682391	0.945595	0.00146415	720.435	659.651	658.898
TapajosHeadwaters	RondoniaHeadwaters	XinguBelemC	0.000186034	0.0245835	0.980387	0.000587881	744.52	675.779	675.528
AtlanticForest	TapajosHeadwaters	InambariW	0.0171134	3.15197	0.00162173	0.262814	725.329	677.532	654.732
XinguBelemC	TapajosHeadwaters	InambariW	0.0167646	2.30517	0.0211573	0.25779	725.275	675.533	653.256
AtlanticForest	TapajosHeadwaters	Rondonia	0.0121827	2.26025	0.023806	0.37259	674.305	698.366	681.555
XinguBelemN	TapajosHeadwaters	InambariE	0.0156432	1.92374	0.0543874	0.106946	688.332	677.773	656.895
XinguBelemN	TapajosHeadwaters	InambariW	0.0124143	1.65717	0.0974845	0.207974	711.049	658.189	642.047
XinguBelemC	TapajosHeadwaters	InambariE	0.016109	1.59544	0.110615	0.123571	699.554	694.502	672.481
AtlanticForest	TapajosHeadwaters	InambariE	0.0103254	1.37908	0.167871	0.0851182	698.009	694.917	680.713
XinguBelemC	TapajosHeadwaters	Rondonia	0.0102135	1.25419	0.209773	0.334286	673.156	695.146	681.089
Tapajos	TapajosHeadwaters	InambariW	0.00569444	1.16012	0.245999	0.108687	743.582	670.032	662.445
XinguBelemN	TapajosHeadwaters	Rondonia	0.0084431	1.12047	0.262514	0.33322	661.863	678.231	666.874
Headwaters	TapajosHeadwaters	XinguBelemN	0.00403842	0.512848	0.608058	0.0099601	791.713	655.481	650.208
RondoniaHeadwaters	TapajosHeadwaters	Tapajos	0.00194036	0.346376	0.72906	0.053639	737.724	692.734	690.051
Headwaters	TapajosHeadwaters	AtlanticForest	0.000692996	0.0922868	0.92647	0.00196584	811.909	666.959	666.035
AtlanticForest	XinguBelemC	Headwaters	0.0167076	2.86063	0.00422794	0.0281928	945.036	750.029	725.378
XinguBelemN	XinguBelemC	Headwaters	0.0174158	2.22597	0.0260164	0.0299807	848.947	755.4	729.539
									
									
									
									
XinguBelemC	AtlanticForest	RondoniaHeadwaters	0.0113017	2.15321	0.0313018	0.0174678	952.154	750.091	733.326
XinguBelemN	AtlanticForest	RondoniaHeadwaters	0.0112187	1.46173	0.143815	0.0177328	861.325	751.884	735.201
									
									
									
									
XinguBelemN	AtlanticForest	Headwaters	0.000548248	0.0690295	0.944966	0.000897782	865.305	740.196	739.385
									
									
									
									
									
									
									
									
									
InambariW	InambariE	TapajosHeadwaters	0.0322644	6.17978	6.42E-10	0.0404679	727.749	715.143	670.438
InambariW	InambariE	RondoniaHeadwaters	0.0390758	5.87756	4.16E-09	0.059711	816.261	835.239	772.418
InambariW	InambariE	Headwaters	0.0356181	5.28653	1.25E-07	0.0622954	817.656	829.453	772.398
TapajosHeadwaters	Rondonia	InambariE	0.018909	3.45571	0.000548846	0.167934	705.207	704.192	678.055
TapajosHeadwaters	Rondonia	InambariW	0.0139861	3.12119	0.00180121	0.296919	733.148	680.05	661.29
Headwaters	Rondonia	InambariW	0.00143568	0.385207	0.700084	0.0512994	842.707	770.2	767.992
Headwaters	Rondonia	InambariE	0.00196598	0.377854	0.705539	0.0259369	810.786	796.25	793.125
RondoniaHeadwaters	Rondonia	InambariW	0.000307647	0.0522138	0.958358	0.010507	835.59	771.289	770.815
Rondonia	RondoniaHeadwaters	InambariE	0.00283964	0.442606	0.658051	0.0307244	802.207	800.253	795.721
									
									
									
									
AtlanticForest	Tapajos	Headwaters	0.022152	4.28202	1.85E-05	0.0401874	824.22	794.242	759.816
XinguBelemN	Tapajos	Headwaters	0.0225708	3.46844	0.000523494	0.0381754	802.409	780.926	746.452
AtlanticForest	Tapajos	TapajosHeadwaters	0.0189326	3.19333	0.00140642	0.0246445	728.73	693	667.247
XinguBelemC	Tapajos	TapajosHeadwaters	0.0175208	2.36261	0.0181468	0.0217365	727.112	688.323	664.619
XinguBelemC	Tapajos	RondoniaHeadwaters	0.0128898	1.98709	0.0469119	0.0204003	830.337	780.516	760.651
XinguBelemN	Tapajos	RondoniaHeadwaters	0.0127768	1.80202	0.0715419	0.02022	804.84	767.834	748.461
XinguBelemN	Tapajos	TapajosHeadwaters	0.0127865	1.5884	0.112196	0.0165161	706.984	674.642	657.608
XinguBelemC	Tapajos	Headwaters	0.00626477	1.22344	0.221165	0.0112916	817.777	782.001	772.264
AtlanticForest	Tapajos	RondoniaHeadwaters	0.00203596	0.566613	0.570977	0.0034899	824.137	779.57	776.402
TapajosHeadwaters	Tapajos	InambariE	0.00173291	0.280019	0.779463	0.014077	714.801	688.338	685.956
TapajosHeadwaters	Tapajos	Rondonia	0.000293059	0.0623038	0.950321	0.013657	691.443	690.155	689.751
									
									
AtlanticForest	XinguBelemC	TapajosHeadwaters	0.00166731	0.260522	0.794461	0.00200721	844.395	644.484	642.339
XinguBelemN	XinguBelemC	RondoniaHeadwaters	0.000585734	0.0682571	0.945581	0.000938939	859.22	740.661	739.794
AtlanticForest	XinguBelemN	TapajosHeadwaters	0.00569071	0.573546	0.566275	0.00692533	762.455	651.836	644.459
XinguBelemC	XinguBelemN	TapajosHeadwaters	0.00395142	0.408466	0.682931	0.00462697	753.196	648.858	643.75
